epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4993.04,0.49816,0.40501,0.99465,0.93842,0.97131,0.97993,0.90195,0.42069,0.30006,0.96224,9.14341e-05,9.14341e-05,9.14341e-05
91,5050.8,0.34057,0.19505,0.91383,0.93654,0.96254,0.97664,0.89362,0.4216,0.28334,0.96459,8.3821e-05,8.3821e-05,8.3821e-05
92,5107.39,0.32748,0.17721,0.90297,0.94448,0.96261,0.97721,0.90374,0.42722,0.294,0.96579,7.62079e-05,7.62079e-05,7.62079e-05
93,5162.42,0.32651,0.17688,0.90368,0.96656,0.96387,0.98056,0.90396,0.4362,0.27161,0.98469,6.85948e-05,6.85948e-05,6.85948e-05
94,5219.45,0.31625,0.17102,0.90104,0.96562,0.96433,0.98068,0.91186,0.43374,0.2657,0.97218,6.09817e-05,6.09817e-05,6.09817e-05
95,5276.15,0.32057,0.17279,0.90977,0.94938,0.96927,0.98186,0.90964,0.4231,0.27628,0.97383,5.33686e-05,5.33686e-05,5.33686e-05
96,5330.53,0.31226,0.16096,0.89934,0.96323,0.96345,0.98161,0.90818,0.42524,0.26964,0.97604,4.57555e-05,4.57555e-05,4.57555e-05
97,5387.3,0.30972,0.16196,0.89562,0.97042,0.95872,0.98342,0.91238,0.42934,0.26238,0.9793,3.81424e-05,3.81424e-05,3.81424e-05
98,5442.9,0.30597,0.16163,0.89993,0.97615,0.95976,0.9821,0.90988,0.43051,0.26034,0.97571,3.05293e-05,3.05293e-05,3.05293e-05
99,5504.96,0.30638,0.1596,0.90026,0.97488,0.96098,0.9831,0.91559,0.43079,0.25722,0.97482,2.29162e-05,2.29162e-05,2.29162e-05
100,5563.3,0.29364,0.15692,0.89098,0.9716,0.96227,0.98313,0.91278,0.4315,0.25716,0.97639,1.53031e-05,1.53031e-05,1.53031e-05
